        tBodyAcc-mean-X   tBodyAcc-mean-Y   tBodyAcc-mean-Z   tBodyAcc-std-X   tBodyAcc-std-Y   tBodyAcc-std-Z   tGravityAcc-mean-X
1           0.288584510     -2.029417e-02     -1.329051e-01    -9.952786e-01    -0.9831106100    -0.9135264500           0.96339614
2           0.278418830     -1.641057e-02     -1.235202e-01    -9.982453e-01    -0.9753002200    -0.9603219900           0.96656113
3           0.279653060     -1.946716e-02     -1.134617e-01    -9.953796e-01    -0.9671870100    -0.9789439600           0.96687810
4           0.279173940     -2.620065e-02     -1.232826e-01    -9.960915e-01    -0.9834027000    -0.9906751000           0.96761519
5           0.276628770     -1.656965e-02     -1.153619e-01    -9.981386e-01    -0.9808172700    -0.9904816300           0.96822440
6           0.277198770     -1.009785e-02     -1.051373e-01    -9.973350e-01    -0.9904868100    -0.9954200300           0.96794820
7           0.279453880     -1.964078e-02     -1.100221e-01    -9.969210e-01    -0.9671859300    -0.9831178300           0.96792950
8           0.277432470     -3.048830e-02     -1.253604e-01    -9.965593e-01    -0.9667284300    -0.9815853300           0.96849148
9           0.277293420     -2.175070e-02     -1.207508e-01    -9.973285e-01    -0.9612453200    -0.9836715600           0.96848115
10          0.280585690     -9.960298e-03     -1.060652e-01    -9.948034e-01    -0.9727584000    -0.9862438700           0.96841804
11          0.276880270     -1.272180e-02     -1.034383e-01    -9.948151e-01    -0.9730769200    -0.9853570200           0.96920266
12          0.276228170     -2.144130e-02     -1.082023e-01    -9.982460e-01    -0.9872137600    -0.9927265900           0.96925328
13          0.278457000     -2.041476e-02     -1.127317e-01    -9.991349e-01    -0.9846800400    -0.9962742400           0.96899630
14          0.277174970     -1.471280e-02     -1.067565e-01    -9.991883e-01    -0.9905263800    -0.9933650100           0.96904398
15          0.297945720      2.709391e-02     -6.166812e-02    -9.886408e-01    -0.8166986000    -0.9019065300           0.94489486
16          0.279203450     -2.302014e-02     -1.220803e-01    -9.968390e-01    -0.9748481200    -0.9833855100           0.95201342
17          0.279038360     -1.480038e-02     -1.168490e-01    -9.969412e-01    -0.9818656200    -0.9825765300           0.95272437
18          0.280134900     -1.391695e-02     -1.063705e-01    -9.976949e-01    -0.9875156700    -0.9904074400           0.95306401
19          0.277731060     -1.821072e-02     -1.091880e-01    -9.974907e-01    -0.9932219700    -0.9961279500           0.95360569
20          0.275568180     -1.697970e-02     -1.114292e-01    -9.978114e-01    -0.9905223000    -0.9976210400           0.95359464
21          0.277561710     -1.431849e-02     -1.078772e-01    -9.979042e-01    -0.9943112900    -0.9959516600           0.95313551
22          0.277152380     -1.798333e-02     -1.066012e-01    -9.977632e-01    -0.9899572700    -0.9965856700           0.95318325
23          0.275676300     -2.126423e-02     -1.108012e-01    -9.978621e-01    -0.9900907600    -0.9945925700           0.95309294
24          0.279200200     -1.771443e-02     -1.091614e-01    -9.983893e-01    -0.9873078400    -0.9908315900           0.95273161
25          0.281715490     -1.191068e-02     -1.028751e-01    -9.985339e-01    -0.9884890100    -0.9931836700           0.95321880
26          0.278992670     -1.453103e-02     -1.065962e-01    -9.980597e-01    -0.9860698300    -0.9934242400           0.95419361
27          0.275734440     -1.801884e-02     -1.067758e-01    -9.992550e-01    -0.9936688800    -0.9941888000           0.95458893
28          0.144503960      1.892633e-01      6.276932e-02    -9.042997e-01    -0.1819365400    -0.4431505100           0.87409866
29          0.287251640     -3.745506e-02     -1.459743e-01    -9.829150e-01    -0.8916048900    -0.9414381100           0.83566368
30          0.279997600     -1.948404e-02     -1.057235e-01    -9.928184e-01    -0.9403504100    -0.9814926600           0.83695957
31          0.221846890      3.410767e-02     -1.236124e-01    -8.147083e-01    -0.7494180000    -0.5718988900           0.83878762
32         -0.041701306      1.751025e-01      2.555178e-02    -7.583928e-01    -0.5865373500    -0.4391101900           0.81080506
33          0.013903671      1.532961e-01      1.624295e-02    -8.086378e-01    -0.5727461900    -0.6264154200           0.70308608
34          0.303689270     -4.242805e-03     -1.508503e-01    -9.565033e-01    -0.8386715500    -0.9430095300           0.61825810
35          0.290759690     -2.403476e-02     -1.167389e-01    -9.773745e-01    -0.9638405300    -0.9625050300           0.62206550
36          0.270908230     -1.441297e-02     -1.065225e-01    -9.938560e-01    -0.9931787000    -0.9934703000           0.62745102
37          0.279553400     -1.700115e-02     -1.105167e-01    -9.960759e-01    -0.9957815200    -0.9982216800           0.62532313
38          0.276358640     -1.613809e-02     -1.080326e-01    -9.955773e-01    -0.9945438500    -0.9945437200           0.62577398
39          0.237154070      7.825122e-03     -1.228379e-01    -9.799536e-01    -0.8661934100    -0.9682904700           0.89093772
40          0.273108400      6.518112e-03     -1.094718e-01    -9.907829e-01    -0.9350651500    -0.9907215600           0.87653997
41          0.281505390     -1.843486e-02     -1.113929e-01    -9.954680e-01    -0.9843302200    -0.9909951400           0.87482213
42          0.278432250     -1.965430e-02     -1.079703e-01    -9.943903e-01    -0.9845627800    -0.9919857800           0.87646180
43          0.273379600     -9.940106e-03     -1.083928e-01    -9.955058e-01    -0.9817674800    -0.9934736300           0.87645385
44          0.279056150     -1.626097e-02     -1.128157e-01    -9.950188e-01    -0.9704463100    -0.9892661200           0.87538094
45          0.278599100     -1.991014e-02     -1.111806e-01    -9.947449e-01    -0.9794956600    -0.9879615200           0.87579788
46          0.273281420     -1.112721e-02     -1.063493e-01    -9.958764e-01    -0.9891107000    -0.9934132200           0.87599536
47          0.278538120     -1.617343e-02     -1.097066e-01    -9.966460e-01    -0.9829748200    -0.9947979700           0.87478155
48          0.277461210     -1.749102e-02     -1.063594e-01    -9.964284e-01    -0.9846731200    -0.9906826600           0.87474639
49          0.273940570     -1.314758e-02     -1.054352e-01    -9.958845e-01    -0.9880129300    -0.9884255300           0.87423160
50          0.279303260     -2.052138e-02     -1.132364e-01    -9.958485e-01    -0.9807007500    -0.9934038100           0.87324201
51          0.279087200     -1.908324e-02     -1.058888e-01    -9.957298e-01    -0.9789672300    -0.9913940100           0.87410872
52          0.403474330     -1.507440e-02     -1.181674e-01    -9.148112e-01    -0.8952311200    -0.8917481100          -0.25504375
53          0.278373210     -2.056096e-02     -9.682457e-02    -9.848826e-01    -0.9911183700    -0.9821117800          -0.21014776
54          0.276555260     -1.786855e-02     -1.076213e-01    -9.941946e-01    -0.9963716600    -0.9956151400          -0.20876483
55          0.279574760     -1.727572e-02     -1.094805e-01    -9.961353e-01    -0.9958115600    -0.9986891500          -0.20956406
